title,neighborhood,price,url,description
Piso  Barcelona. Piso,Girona - Eixample Nord,290.000 €,https://www.habitaclia.com/comprar-piso-en_eixample_nord-girona-i40042000000307.htm?pag=1&f=&geo=c&from=list&lo=55,"Magnífico piso muy luminoso de 118 m² en el centro neurálgico de Girona. Consta de un amplio salón comedor muy luminoso,..."
Piso  Mare deu salut. Piso,Girona - Santa Eugenia,155.000 €,https://www.habitaclia.com/comprar-piso-en_santa_eugenia-girona-i40042000000644.htm?pag=1&f=&geo=c&from=list&lo=55,Este anuncio contiene imágenes renderizadas de proyecto de mejora basadas en el espacio real. Amplio piso de 4 habitacio...
Ático  Creu. Espectacular atic amb les millors vistes!!,Girona - Eixample Nord,890.000 €,https://www.habitaclia.com/comprar-atico-espectacular_atic_amb_les_millors_vistes_eixample_nord-girona-i4604004049467.htm?pag=1&f=&geo=c&from=list&lo=55,"GIRONA-EIXAMPLE. Espectacular Àtic de 167m² amb terrassa de 210m² a tres vents. Consta de rebedor, 4 habitacions dobles..."
Piso  Bellpuig-montjuic. Piso,Girona - Montjuïc,330.000 €,https://www.habitaclia.com/comprar-piso-en_montjuic-girona-i40042000000642.htm?pag=1&f=&geo=c&from=list&lo=55,"Fantástica planta baja con jardín y acceso directo a la piscina comunitaria. El piso cuenta con un pequeño recibidor, qu..."
"Piso  en  Montserrat roig 17. Piso en venta en vilablareix, con 105 m2, 4 habitaciones y 2 bañ",Vilablareix,289.000 €,https://www.habitaclia.com/comprar-piso-en_venta_en_con_105_m2_4_habitaciones_y_2_ban_montserrat_roig_17-vilablareix-i24188000001203.htm?pag=1&f=&geo=c&from=list&lo=55,"Buscas un piso con terraza? ¿Quieres vivir en un entorno mas tranquilo para ti y para tu familia con tranquilidad, bueno..."
Dúplex  Carrer de la riera bugantó. Dúplex de 3 dormitorios zona pericot,Girona - Montilivi,398.000 €,https://www.habitaclia.com/comprar-duplex-de_3_dormitorios_zona_pericot_montilivi-girona-i4309002466570.htm?pag=1&f=&geo=c&from=list&lo=55,"Piso dúplex en Girona, zona Av. de Lluís Pericot. Última planta alta con orientación Sur, soleado y luminoso. Plaza de a..."
Tríplex  en  Centre-Barri Vell. Precioso piso a la venta en el corazon del barri vell,Girona - Centre-Barri Vell,218.000 €,https://www.habitaclia.com/comprar-triplex-precioso_piso_a_la_venta_en_el_corazon_del_barri_vell_centre_barri_vell-girona-i42030000000107.htm?pag=1&f=&geo=c&from=list&lo=55,A la venta precioso triplex en el corazon del Barri Vell de Girona. El piso consta de 54m2 y esta repartido en tres plan...
Piso  Santa eugenia. Piso con 2 habitaciones con ascensor y calefacción,Girona - Santa Eugenia,119.900 €,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_con_ascensor_y_calefaccion_santa_eugenia-girona-i2413004335458.htm?pag=1&f=&geo=c&from=list&lo=55,"Zona Sta. Eugènia. Piso en venta, de 82m2 construidos, situado en la calle Santa Eugènia. Se encuentra en un primer piso..."
Piso  Maçana. Piso,Girona - Santa Eugenia,130.000 €,https://www.habitaclia.com/comprar-piso-en_santa_eugenia-girona-i40042000000666.htm?pag=1&f=&geo=c&from=list&lo=55,"Acogedor piso de dos habitaciones. Al entrar el piso, encontramos muy bien diferenciadas las zonas de día y de noche, en..."
Casa  Disseminat can matetas,Llagostera,1.250.000 €,https://www.habitaclia.com/comprar-casa-en-llagostera-i794003874050.htm?pag=1&f=&geo=c&from=list&lo=55,"Excelente finca rustica con una masia reformada de 563 m2 y unas 4,8 hectareas de terreno.  DISTRIBUCIÓN La masía cons..."
"Piso  en  Carrer bonastruc de porta, 28. Obra nueva",Girona - La Devesa,225.000 €,https://www.habitaclia.com/comprar-piso-obra_nueva_calle_bonastruc_de_porta_28_la_devesa-girona-i4604004463871.htm?pag=1&f=&geo=c&from=list&lo=55,GIRONA-CENTRE. Promoció de 8 habitatges de nova construcció al centre de Girona de 2 i 3 habitacions.					 					 ...
Casa  en  Palau. Magnífica casa en venta a girona,Girona - Palau,1.250.000 €,https://www.habitaclia.com/comprar-casa-magnifica_en_venta_a_palau-girona-i8084000001576.htm?pag=1&f=&geo=c&from=list&lo=55,PRODUCTE APIALIA GIRONA. Es ven impressionant Casa unifamiliar de 2 plantes a una de les millors zones residencials de l...
"Casa  Ponent. Casa con 3 habitaciones con parking, calefacción y aire acondici",Vilablareix,485.000 €,https://www.habitaclia.com/comprar-casa-con_3_habitaciones_con_parking_calefaccion_y_aire_acondici-vilablareix-i4860003363560.htm?pag=1&f=&geo=c&from=list&lo=55,"PRODUCTO APIALIA- Casa unifamiliar con piscina en el centro de Vilablareix. Vive en la más absoluta tranquilidad, rodead..."
Piso  en  Carrer olivera. Vivienda con despacho/consulta y gran terraza junto al centro de,Girona - Carme - Vistalegre,310.000 €,https://www.habitaclia.com/comprar-piso-vivienda_con_despachoconsulta_y_gran_terraza_junto_al_centro_de_calle_olivera_carme_vistalegre-girona-i36689004316288.htm?pag=1&f=&geo=c&from=list&lo=55,"Si estás buscando un espacio donde poder vivir y al mismo tiempo trabajar junto al centro de Girona, ¡esta es tu viviend..."
